Trial,Resp,LR,Outcome,RT,respOnset
2,2,0,+10,0.3799872988893185,358.3170222810586
2,1,0,+10,0.4203291713783983,358.737351452437
2,2,0,+10,0.561885859206086,359.2992373116431
2,1,0,+4,0.48674345383187756,359.78598076547496
3,2,0,-4,1.083043899066979,367.8983323734137
3,2,0,+25,0.35013036979944445,368.24846274321317
3,1,0,+12,0.38499061414040625,368.6334533573536
3,1,0,+12,0.44013033248484135,369.0735836898384
3,1,0,+12,0.42423995514400303,369.4978236449824
3,2,0,-4,0.4242045014689211,369.92202814645134
3,2,0,-4,0.3919774664391298,370.31400561289047
3,1,0,+12,0.40017844989779405,370.71418406278826
3,2,0,+25,0.61621107722749,371.33039514001575
3,1,0,+12,0.4300587037287187,371.7604538437445
3,1,0,+12,0.4721157231251709,372.23256956686964
3,2,0,+25,0.4736113063408993,372.70618087321054
3,1,0,+2,0.4470531194820069,373.15323399269255
3,2,0,+25,0.480194484902313,373.63342847759486
3,1,0,+2,0.3530820397136267,373.9865105173085
3,2,0,+25,0.34979045038926415,374.33630096769775
3,1,0,+12,0.5200350306695327,374.8563359983673
3,2,0,+25,0.4763004950073082,375.3326364933746
3,1,0,+2,0.6360893655219115,375.9687258588965
3,2,0,+25,0.5786675531999208,376.5473934120964
3,1,0,+12,0.5334305923897773,377.0808240044862
3,2,0,+25,0.4996165410266258,377.58044054551283
3,1,0,+12,0.484560256882105,378.06500080239493
3,2,0,-4,0.3995197588519659,378.4645205612469
3,1,0,+12,0.5681791888491716,379.03269975009607
3,2,0,+25,0.43184786787605844,379.46454761797213
3,1,0,+2,0.5119634217990097,379.97651103977114
3,2,0,+25,0.5551163936324883,380.5316274334036
3,1,0,+12,0.5332262675219681,381.0648537009256
4,2,1,-8,0.5614737885771319,390.59237317866064
4,1,1,+10,0.40028636576607823,390.9926595444267
4,2,1,+17,0.5123558996710926,391.5050154440978
4,1,1,+10,0.3203403050720226,391.82535574916983
4,2,1,+17,0.6639366337913089,392.48929238296114
4,1,1,+10,0.39814422038034536,392.8874366033415
4,2,1,+17,0.4326483734184876,393.32008497676
4,1,1,+10,0.32023394416319206,393.64031892092316
4,2,1,+17,0.40848734928295016,394.0488062702061
4,1,1,+10,0.432805115764495,394.4816113859706
4,2,1,-8,0.5439332625828683,395.0255446485535
4,2,1,+17,1.0062134034815244,396.031758052035
4,1,1,+10,0.35382034588837996,396.3855783979234
4,2,1,+17,0.4617184808012098,396.8472968787246
4,1,1,+10,0.3320029930328019,397.1792998717574
4,2,1,+17,0.34067358158063143,397.519973453338
4,1,1,+10,0.36010901056579314,397.8800824639038
4,2,1,+17,0.37663693123613484,398.25671939513995
4,1,1,+10,0.5512612783059012,398.80798067344585
4,2,1,-8,0.4335844735323917,399.24156514697825
4,1,1,+10,0.3098665575380437,399.5514317045163
4,2,1,+17,0.6475200499407947,400.1989517544571
4,1,1,+10,0.47345394201693125,400.672405696474
4,2,1,+17,0.3915610418189317,401.06396673829295
4,1,1,+10,0.44026965904049575,401.50423639733344
4,2,1,+17,0.8430623473832384,402.3472987447167
4,1,1,+10,0.4217833920265548,402.76908213674324
4,2,1,+17,0.46964672015747055,403.2387288569007
4,1,1,+10,0.44048175879288465,403.6792106156936
4,2,1,+17,0.4720488588209264,404.1512594745145
4,1,1,+10,0.32039815044845454,404.471657624963
4,2,1,+17,0.43326912287739106,404.90492674784036
4,1,1,+10,0.39314339312841184,405.2980701409688
5,2,1,0,1.135254339344101,413.3585820166918
5,1,1,-2,0.3437381432449911,413.7023201599368
5,2,1,0,0.35435805923771113,414.0566782191745
5,1,1,-2,0.5020569323096424,414.55873515148414
5,2,1,0,0.43308594581321813,414.99182109729736
