"","TrialNumber","Condition","Run","P1_1","P1_2","SafeOption","P2_2","O2_2","O2_1","ProbNumber","O1_2","O1_1","EV2","EV1","ProbType","P2_1","ran","order","trialStartTime","viewingEndTime","viewingDur_total","thinkOnset","decideOnset","leftRight","resp","safeChoice","resp_onset","rt","decideDur_total","assignedITI","decide_pad","totalITI","ITI_onset","TrialEndTime","samplingCount_total","samplingCount_risky","samplingCount_safe","switchCount","samplingDur_assigned","samplingDur_total","samplingEndTime","sampling_pad","PID"
"97",13,"Descriptive","Run1",0.5,0.3,1,0.7,35,30,"RR5",-10,10,21.5,20,"RR",0.5,1,12,160.571,166.605,6.03485,166.606,169.638,0,"1","0","170.071751268","0.433536182274",9.80116,1.1188,"1.26646381773",2.38526,170.391,172.788,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"98",13,"Experiential","Run1",0.2,1,2,0,0,0,"SD12",6,29,6,5.8,"SD",0.8,1,12,279.572,NA,NA,295.271,298.303,0,"2","0","298.771228432","0.468272466678",19.4988,4.653,"1.23172753332",6.18654,299.281,305.469,23,12,11,2,16,15.6983,295.271,0.301817,"A001"
"99",13,"Descriptive","Run1",0.5,0.3,1,0.7,35,30,"RR5",-10,10,21.5,20,"RR",0.5,1,12,160.571,166.605,6.03485,166.606,169.638,0,"1","0","170.071751268","0.433536182274",9.80116,1.1188,"1.26646381773",2.38526,170.391,172.788,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"100",13,"Experiential","Run2",0.8,0.6,1,0.4,18,10,"RR9",-4,2,4.8,3.6,"RR",0.2,1,12,283.514,NA,NA,299.028,302.061,0,"1","0","302.489977689","0.429142654175",19.2763,1.4411,"1.27085734583",3.1979,303.001,306.21,17,3,14,1,16,15.5141,299.028,0.485938,"A001"
"101",13,"Descriptive","Run2",0.9,1,2,0,0,-8,"MD7",4,6,4,4.6,"MD",0.1,1,12,158.381,164.421,6.03994,164.421,167.454,0,"2.0","0.0","167.847717285","0.394220590591",9.76697,1.6301,"1.30577945709",2.93588,168.209,171.153,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"102",13,"Experiential","Run1",0.2,1,2,0,0,0,"SD12",6,29,6,5.8,"SD",0.8,1,12,279.572,NA,NA,295.271,298.303,0,"2","0","298.771228432","0.468272466678",19.4988,4.653,"1.23172753332",6.18654,299.281,305.469,23,12,11,2,16,15.6983,295.271,0.301817,"A001"
"103",13,"Descriptive","Run2",0.9,1,2,0,0,-8,"MD7",4,6,4,4.6,"MD",0.1,1,12,158.381,164.421,6.03994,164.421,167.454,0,"2.0","0.0","167.847717285","0.394220590591",9.76697,1.6301,"1.30577945709",2.93588,168.209,171.153,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"104",13,"Experiential","Run2",0.8,0.6,1,0.4,18,10,"RR9",-4,2,4.8,3.6,"RR",0.2,1,12,283.514,NA,NA,299.028,302.061,0,"1","0","302.489977689","0.429142654175",19.2763,1.4411,"1.27085734583",3.1979,303.001,306.21,17,3,14,1,16,15.5141,299.028,0.485938,"A001"
"105",14,"Descriptive","Run1",0.4,1,2,0,0,-20,"MD4",-4,15,-4,-6,"MD",0.6,1,13,172.862,178.904,6.04151,178.904,181.937,1,"2","0","183.071728613","1.13484196924",10.5094,3.4263,"0.565158030763",3.99146,183.388,187.386,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"106",14,"Experiential","Run1",0.2,1,2,0,0,-7,"MD6",-2,24,-2,-0.8,"MD",0.8,1,13,305.47,NA,NA,320.135,323.167,0,"1","1","323.603124253","0.436278927838",18.4336,5.4629,"1.26372107216",7.06144,324.114,331.183,22,16,6,2,15,14.6653,320.135,0.334815,"A001"
"107",14,"Descriptive","Run1",0.4,1,2,0,0,-20,"MD4",-4,15,-4,-6,"MD",0.6,1,13,172.862,178.904,6.04151,178.904,181.937,1,"2","0","183.071728613","1.13484196924",10.5094,3.4263,"0.565158030763",3.99146,183.388,187.386,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"108",14,"Experiential","Run2",0.8,1,2,0,0,-9,"MD9",5,8,5,4.6,"MD",0.2,1,13,306.211,NA,NA,321.16,324.191,0,"2","0","324.561915859","0.370467380621",18.6513,1.3267,"1.32953261938",2.7078,325.072,327.791,23,15,8,2,15,14.9485,321.159,0.0515651,"A001"
"109",14,"Descriptive","Run2",0.8,1,2,0,0,0,"SD4",-3,-4,-3,-3.2,"SD",0.2,1,13,171.179,177.236,6.05667,177.236,180.269,1,"1.0","1.0","180.663711548","0.394769608974",9.78465,1.1412,"1.3052303791",2.44643,180.979,183.435,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"110",14,"Experiential","Run1",0.2,1,2,0,0,-7,"MD6",-2,24,-2,-0.8,"MD",0.8,1,13,305.47,NA,NA,320.135,323.167,0,"1","1","323.603124253","0.436278927838",18.4336,5.4629,"1.26372107216",7.06144,324.114,331.183,22,16,6,2,15,14.6653,320.135,0.334815,"A001"
"111",14,"Descriptive","Run2",0.8,1,2,0,0,0,"SD4",-3,-4,-3,-3.2,"SD",0.2,1,13,171.179,177.236,6.05667,177.236,180.269,1,"1.0","1.0","180.663711548","0.394769608974",9.78465,1.1412,"1.3052303791",2.44643,180.979,183.435,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"112",14,"Experiential","Run2",0.8,1,2,0,0,-9,"MD9",5,8,5,4.6,"MD",0.2,1,13,306.211,NA,NA,321.16,324.191,0,"2","0","324.561915859","0.370467380621",18.6513,1.3267,"1.32953261938",2.7078,325.072,327.791,23,15,8,2,15,14.9485,321.159,0.0515651,"A001"
"113",15,"Descriptive","Run1",0.8,0.3,1,0.7,40,33,"RR12",-25,18,20.5,21,"RR",0.2,1,14,187.419,193.452,6.03334,193.453,196.485,0,"1","0","197.007679612","0.522487380309",9.88869,1.1057,"1.17751261969",2.28321,197.328,199.618,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"114",15,"Experiential","Run1",0.8,1,2,0,0,0,"SD4",-3,-4,-3,-3.2,"SD",0.2,1,14,331.183,NA,NA,347.216,350.247,0,"1","1","350.691037482","0.443842245266",19.8078,2.274,"1.25615775473",3.4984,351.2,354.714,24,17,7,2,16,16.0319,347.215,-0.0317568,"A001"
"115",15,"Descriptive","Run1",0.8,0.3,1,0.7,40,33,"RR12",-25,18,20.5,21,"RR",0.2,1,14,187.419,193.452,6.03334,193.453,196.485,0,"1","0","197.007679612","0.522487380309",9.88869,1.1057,"1.17751261969",2.28321,197.328,199.618,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"116",15,"Experiential","Run2",0.9,1,2,0,0,-10,"MD8",3,5,3,3.5,"MD",0.1,1,14,327.792,NA,NA,343.374,346.405,0,"2","0","346.753904656","0.348611126305",19.2621,1.1749,"1.3513888737",2.94426,347.264,350.222,24,16,8,2,16,15.5821,343.374,0.417975,"A001"
"117",15,"Descriptive","Run2",0.1,1,2,0,0,-1,"MD10",2,42,2,3.3,"MD",0.9,1,14,183.462,189.501,6.03869,189.501,192.534,0,"2.0","0.0","192.887680054","0.353862524033",9.72543,1.5139,"1.34613752365",2.86004,193.203,196.067,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"118",15,"Experiential","Run1",0.8,1,2,0,0,0,"SD4",-3,-4,-3,-3.2,"SD",0.2,1,14,331.183,NA,NA,347.216,350.247,0,"1","1","350.691037482","0.443842245266",19.8078,2.274,"1.25615775473",3.4984,351.2,354.714,24,17,7,2,16,16.0319,347.215,-0.0317568,"A001"
"119",15,"Descriptive","Run2",0.1,1,2,0,0,-1,"MD10",2,42,2,3.3,"MD",0.9,1,14,183.462,189.501,6.03869,189.501,192.534,0,"2.0","0.0","192.887680054","0.353862524033",9.72543,1.5139,"1.34613752365",2.86004,193.203,196.067,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"120",15,"Experiential","Run2",0.9,1,2,0,0,-10,"MD8",3,5,3,3.5,"MD",0.1,1,14,327.792,NA,NA,343.374,346.405,0,"2","0","346.753904656","0.348611126305",19.2621,1.1749,"1.3513888737",2.94426,347.264,350.222,24,16,8,2,16,15.5821,343.374,0.417975,"A001"
"121",16,"Descriptive","Run1",0.9,0.7,1,0.3,25,15,"RR10",-3,5,5.4,6,"RR",0.1,1,15,199.65,205.7,6.05057,205.701,208.734,1,"1","0","209.207662168","0.473986394354",9.8578,2.5049,"1.22601360565",3.73091,209.525,213.266,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"122",16,"Experiential","Run1",0.8,1,2,0,0,0,"SD6",12,14,12,11.2,"SD",0.2,1,15,354.714,NA,NA,373.712,376.744,0,"2","0","377.226986744","0.483286582632",22.813,1.0098,"1.21671341737",2.2295,377.737,379.977,27,17,10,2,19,18.9971,373.711,0.00298402,"A001"
"123",16,"Descriptive","Run1",0.9,0.7,1,0.3,25,15,"RR10",-3,5,5.4,6,"RR",0.1,1,15,199.65,205.7,6.05057,205.701,208.734,1,"1","0","209.207662168","0.473986394354",9.8578,2.5049,"1.22601360565",3.73091,209.525,213.266,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"124",16,"Experiential","Run2",0.8,0.3,1,0.7,40,33,"RR12",-25,18,20.5,21,"RR",0.2,1,15,350.222,NA,NA,368.737,371.769,0,"1","0","372.065901034","0.296537094866",22.1437,1.0098,"1.40346290513",2.89905,372.578,375.486,15,7,8,1,19,18.5143,368.737,0.485789,"A001"
"125",16,"Descriptive","Run2",0.25,0.25,1,0.75,10,6,"RR1",-8,2,5.5,5,"RR",0.75,1,15,196.094,202.15,6.05542,202.15,205.182,1,"1.0","0.0","205.471755981","0.289324939251",9.6776,1.2245,"1.41067504883",2.63517,205.788,208.432,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"126",16,"Experiential","Run1",0.8,1,2,0,0,0,"SD6",12,14,12,11.2,"SD",0.2,1,15,354.714,NA,NA,373.712,376.744,0,"2","0","377.226986744","0.483286582632",22.813,1.0098,"1.21671341737",2.2295,377.737,379.977,27,17,10,2,19,18.9971,373.711,0.00298402,"A001"
"127",16,"Descriptive","Run2",0.25,0.25,1,0.75,10,6,"RR1",-8,2,5.5,5,"RR",0.75,1,15,196.094,202.15,6.05542,202.15,205.182,1,"1.0","0.0","205.471755981","0.289324939251",9.6776,1.2245,"1.41067504883",2.63517,205.788,208.432,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"128",16,"Experiential","Run2",0.8,0.3,1,0.7,40,33,"RR12",-25,18,20.5,21,"RR",0.2,1,15,350.222,NA,NA,368.737,371.769,0,"1","0","372.065901034","0.296537094866",22.1437,1.0098,"1.40346290513",2.89905,372.578,375.486,15,7,8,1,19,18.5143,368.737,0.485789,"A001"
"129",17,"Descriptive","Run1",0.3,1,2,0,0,-4,"MD11",5,27,5,5.3,"MD",0.7,1,16,213.29,219.332,6.04238,219.333,222.365,0,"2","0","222.791820546","0.4265698198",9.80187,1.1239,"1.2734301802",2.39733,223.108,225.515,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"130",17,"Experiential","Run1",0.25,0.25,1,0.75,10,6,"RR1",-8,2,5.5,5,"RR",0.75,1,16,379.977,NA,NA,395.492,398.525,1,"1","0","398.955018065","0.430387537461",19.2781,5.4629,"1.26961246254",7.2179,399.467,406.69,19,12,7,2,16,15.5147,395.492,0.485384,"A001"
